,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.406954942191,0.374162042658,0.517221535144,0.536863182663,1.49223854199,0.475441819909,0.475011438098,0.419816991083,1.36634872759,0.453014169824,1.41416034033,0.41069173251,0.414419404423,0.840899569952,1.38017900436,0.414419404423,0.753249726188,0.593610053784,1.18641784133,0.427973321073,0.629967870742,0.381440888676,0.418493483025,0.526206572278,0.502899673773,0.819270566272,1.40482901133,0.377929854259,0.446644169574,0.399472809118,0.668593190336,0.431932165412,0.751127902892,0.649087186251,0.310758058531,0.384081880526,0.268762717788,0.669920856064,0.530209123976,0.649087186251,0.665115197801,0.4682299114,0.944691624507,1.25387115985,0.276039452395,0.395068190596,0.677227821033,1.30622512446,0.348288217886,0.47993901038,0.619731876067,0.286263938024,0.479413424158,0.437549001689,0.837866901928,0.379109040361,0.825108574242,0.565543796803,0.807239393731,0.876084061886,0.11755205467,0.357029009097,1.63069792873,1.00000000725,1.000000021,1.0000000157,1.00000028127,1.00000017849,1.00000056047,1.00000043643,1.00004291725,1.00002707514,1.00054042301,1.00034739779,1.00069710707,1.0005495927,1.01298885666,1.00807283493,1.08112510124,1.05583223552,1.78220710289,1.44933349808,1.68264116112,1.80998678411,1.72301343432,2.85265154525,2.97602481802,3.96223570593,4.71429524122,3.33202385716,3.54006948639,5.37346755629,6.36184133045,inf,2.7294353611,0.571332585079,4.24935257219,0.153706553673,10.2150999855,0.859339713378,4.01566197073,0.0998510801372,11.2663073202,0.177706285103,8.35448799263,0.776123353853,3.4343085666,0.111817136854,11.0422282193,0.405246842699,6.17932451759,0.168105602387,6.69894650929,1.25833083835,2.32009853918,1.58237656011,2.21964214383,1.1520645725,3.17950892331,0.580884538494,7.88650561657,0.749275763995,2.94458480216,0.534163447092,3.03719922293,2.72943534132,0.571332597079,4.24935250548,0.153706596907,10.2150981622,0.85934019501,4.0156602182,0.0998553654715,11.2660022916,0.177802321668,8.35158666989,0.776664394933,3.43242213245,0.113269513617,10.9538,0.438122533842,5.85256285013,0.29959899861,4.62208768249,2.11731926291,1.28183175676,2.72645607123,0.778097888445,3.42857275972,0.802453250966,2.73846121552,2.36688149744,2.65248826901,0.547985964615,3.39826309493,0.0,247.0,250.0,423.0,228.0,219.0,211.0,202.0,194.0,185.0,177.0,168.0,160.0,151.0,143.0,135.0,126.0,119.0,112.0,111.0,100.0,96.0,82.0,77.0,60.0,59.0,41.0,44.0,28.0,26.0,11.0,6.0
1,0.418642405532,0.531539042995,0.740581936155,0.558495941887,1.41527188899,0.383952240257,1.46457889313,0.583775739545,1.48203005999,1.40154375873,0.531539042995,1.35181870648,0.594486191322,1.48900907505,0.375937358096,0.381440888676,0.716047088112,1.34672423119,0.596024616267,0.493437812213,0.501644628221,1.27453412888,1.47826182955,0.466603559773,0.669237328204,1.27129301801,0.526206572278,0.488629984976,0.398984466752,0.502899673773,1.10237526068,0.765336334008,0.427801437071,0.765336334008,0.530209123976,0.258159007994,1.11320750265,0.258159007994,0.924251915263,0.494446749461,0.367869315751,0.517027090844,0.696020130841,0.800751776317,0.916251640183,0.514906437972,0.401040284851,0.478583471884,0.719931739522,0.655815829403,0.357437495925,0.52969773909,1.06350686808,0.586632053295,0.578740206382,0.751127902892,1.19793141542,0.873424130964,0.585652850256,0.944691624507,0.124993038467,0.579135448881,1.6303667195,1.00002753562,1.00008569909,1.00005799086,1.00017834587,1.0001303224,1.00011209378,1.00042911413,1.0002832666,1.006108937,1.00382781143,1.05138319638,1.03312807495,1.58319538353,1.34414782442,1.75834036236,1.58107132711,2.89453145195,2.14115089701,2.76085675142,2.5072006909,3.62632203798,3.14290982111,2.93373036514,2.28745578818,6.19513376868,3.77278901008,5.37431461152,4.7660999193,6.10431769083,12.5064673266,inf,2.68927243899,0.397973073396,4.74337573223,0.717710257143,3.24876459498,2.57939683156,0.830982986766,4.53660344686,0.264387598007,10.6679072184,0.248531981157,10.1573328021,0.279663554413,6.84224492545,0.953592042522,1.68928380432,1.31683122247,3.6766991192,2.35240692348,1.24349263172,2.08605614233,1.79046914138,3.81265309867,1.51874564195,1.74788233712,2.18079923875,2.64318694951,0.649491505336,2.92265316351,0.321707270213,4.63334163233,2.68919839024,0.398007179326,4.74310067575,0.717838257803,3.24834126337,2.5796859659,0.830626553172,4.53788851508,0.262782277628,10.7087419555,0.236385726928,10.4938256845,0.17664500372,9.19698863067,0.542325060003,2.67087818637,0.454937610568,7.87236761711,0.852056855998,3.11768558539,0.575253968203,5.62728304882,1.29959219974,3.47406350944,0.282137949298,8.22769540116,0.491818425337,3.09554141117,0.478784577006,4.02342146363,0.0,285.0,276.0,268.0,260.0,252.0,244.0,236.0,228.0,220.0,212.0,204.0,195.0,185.0,170.0,164.0,149.0,144.0,123.0,122.0,103.0,103.0,83.0,85.0,67.0,63.0,41.0,41.0,23.0,22.0,9.0,6.0
2,1.40763715419,0.552917288412,0.398202966013,0.583427735268,1.37095205322,0.427973321073,1.39277242427,0.488629984976,0.565937766738,1.27596220368,0.618917620994,0.594878185547,0.398202966013,1.35191904918,0.484140222359,0.381440888676,1.46850641734,1.30018338327,0.517221535144,0.375937358096,0.453719668927,0.583427735268,0.54388127097,0.313166497505,0.528953922508,0.576252974525,0.572020326418,0.762644447251,0.437479418692,0.778960206939,0.574586136003,0.26822609401,0.82240545494,0.427801437071,0.257657112186,0.57352109537,0.574706296928,0.425882396071,0.509966001468,0.80207945736,0.763945696447,0.372516888822,0.687188946397,0.821482705037,0.800751776317,0.687188946397,0.509902529413,0.4682299114,0.821482705037,0.671352344119,0.45114141138,0.425038429779,0.530209123976,0.628215141178,0.306062847253,0.475869278898,0.383272601192,0.428059238716,0.438426121067,0.708544521579,0.0872536301756,0.394711980383,1.63042478224,1.05447907638,1.05355618794,1.04692644482,1.17041274733,1.10888242341,1.14927393027,1.1587122655,1.10651453832,2.44824066521,1.78523067427,2.8975106815,2.08036366705,5.55070463246,3.95000107025,2.87084172398,4.74192982047,3.52859269104,2.55021145171,2.251915996,2.76571649196,2.36310419096,2.86250005246,2.40357197648,3.65057677513,3.59928437039,3.3406579323,5.93281468915,4.13406436017,11.743231329,9.30052147972,inf,6.2334427286,1.86552229268,3.83150337356,0.408568613611,8.99356722139,1.92111086844,1.8423551488,4.89793990832,0.51283442967,6.81299545912,1.24493441613,3.04660904339,2.08864829772,1.39683854971,4.65761866669,0.415573025394,5.01358590536,2.55731603287,4.1825208925,0.660043682559,3.64390541785,0.966890442524,5.02795883872,0.614572486882,3.49842837386,1.70836523124,3.00789417623,1.9926673701,3.55563312068,0.959896631193,4.52373132887,5.91139536878,1.96543255518,3.65976367538,0.478193913528,8.11047865084,2.20788263825,1.59000228414,5.41964171637,0.209470595338,12.1627684773,0.429656540725,6.33805476156,0.376285253138,5.51751376633,1.62238782716,1.9706181217,1.42084574343,6.52169663267,1.8573165695,1.82549369827,1.54199947332,2.76772394244,2.09186947091,2.24354404724,0.971978875199,5.707063861,0.506992773891,8.23781515641,0.302781493532,8.92753923672,0.0,383.0,370.0,360.0,349.0,341.0,328.0,319.0,305.0,289.0,260.0,255.0,224.0,219.0,180.0,190.0,167.0,180.0,148.0,150.0,129.0,132.0,111.0,113.0,93.0,96.0,72.0,70.0,42.0,39.0,13.0,8.0
3,1.34672423119,0.502906909339,0.47538997494,0.495516686983,0.418642405532,1.48561687422,0.340735204837,0.5199071468,1.48900907505,0.418642405532,0.414419404423,0.568640440663,0.493560186315,0.618616945556,1.41625597902,0.312962891257,1.42754195855,0.657341868628,0.509271313427,0.5199071468,0.378967066632,0.514564178655,0.583775739545,1.48618859759,1.49223854199,0.509731711285,0.618616945556,1.10775373285,1.27453412888,0.594127983467,0.753973753036,0.469181004441,0.665115197801,0.663650405735,0.954628079123,0.751127902892,1.15420182143,0.93982214843,0.517027090844,1.1274251968,0.65452027977,0.427801437071,0.472298501109,0.623040299699,0.712029051705,0.805525452083,0.366657012849,0.692644086256,0.467568730153,0.456794447242,0.559570889344,0.456608558776,0.706251082171,0.456794447242,0.876084061886,0.475869278898,0.608003827589,0.310758058531,0.567518955565,0.22174554828,0.126236314969,0.401076221283,1.63072247359,1.00001894655,1.00001407101,1.00003830693,1.00002929052,1.00007855707,1.0000590316,1.00004628944,1.00084792092,1.00053501903,1.00142944342,1.0011166304,1.00183120165,1.00142106602,1.02975920181,1.01887104088,1.08724266293,1.06302435777,1.05330387511,1.09188459757,1.07151386821,1.31285668298,1.2291982309,2.67417715115,1.9670072138,2.02064640733,1.68899984778,3.67876606319,2.61483892329,3.07326201021,2.46065305216,inf,1.85946763958,3.08645116116,0.745699570471,3.02774124292,0.610066442166,2.56518911627,2.6088488272,0.116449957852,9.08933664913,0.712863355344,2.05601643004,0.944883297239,3.79638177912,0.184004733965,9.77038563881,0.382058036892,3.24392957505,3.23402157818,0.925174969709,3.35171383733,0.654407337538,3.12484423031,0.7799264863,3.29199227342,2.8886732557,2.16708373459,1.44086715982,2.3215932335,3.83303612171,1.91269321195,3.17718575183,1.85943240975,3.08649459064,0.745671006108,3.02782992702,0.610018520898,2.56534054348,2.60872807065,0.116548698208,9.08447628142,0.713882353178,2.05372318031,0.946613569095,3.79099452563,0.189480567977,9.58942324082,0.415389797426,3.05160418136,3.40640746049,0.847319370353,3.59140785898,0.498460605811,3.84105299975,0.291651017197,6.4753725496,1.4295787948,3.66020409786,0.391671319966,6.070592351,1.24722074101,4.70647438982,0.0,264.0,256.0,248.0,241.0,233.0,225.0,217.0,209.0,201.0,193.0,185.0,177.0,169.0,162.0,154.0,147.0,140.0,131.0,124.0,115.0,107.0,96.0,87.0,68.0,66.0,52.0,46.0,29.0,26.0,13.0,6.0
4,1.42533986805,0.587360563891,0.618917620994,0.553026993853,0.753249726188,0.354157533915,0.449682452004,0.79319976196,1.45728093779,0.605486511706,0.531539042995,0.466603559773,0.313166497505,0.453941520615,0.618616945556,0.484401980169,0.405802974669,0.615644601709,0.54388127097,0.445051215323,0.488629984976,0.397907635167,0.57231497308,0.519848448146,0.466603559773,0.377308239792,0.484401980169,0.56417347055,0.553026993853,0.681344592065,0.235759758254,0.574706296928,0.349758652433,0.928982186901,0.764363600938,0.840649783494,0.787789063584,0.678528122928,1.41240862428,0.800751776317,1.25012326209,0.650245039727,1.14200393269,1.17652042184,0.367869315751,0.456608558776,0.669920856064,0.517253061607,0.888652080956,0.427801437071,0.54703950102,0.827214135477,0.636899749973,0.881005058344,0.589155911012,0.401040284851,0.812151781701,0.699045468723,0.458978310493,0.823213511009,0.127186769046,0.384010073861,1.6308114741,1.03683874498,1.13430727543,1.10193520551,1.19565268687,1.16601967854,1.14620443751,1.31612104682,1.23119284769,1.2632793005,1.17779938171,1.26001643844,1.20319002701,1.25174212692,1.34832304201,1.27099859136,1.27038994145,1.52643490408,1.4884693045,1.4968833188,1.58655458973,1.53748430808,2.3034766299,2.07437353868,2.26530903915,2.26633193936,2.38170404254,4.705766477,4.40934476564,5.85032428339,5.99045368257,inf,9.3972496349,0.883244900499,3.40001991578,1.13700925088,1.97743750879,1.80085858067,0.76769326731,2.5412462799,1.59582155877,2.47211009032,1.0930043825,1.64807566042,1.47531736133,0.720408061308,2.10293031638,2.18177387172,1.35082807226,1.54507697659,2.38379655345,0.933183838971,3.12960043087,0.58404058727,2.76975989082,0.988130170664,2.17843644687,1.09592178284,2.43059376815,0.802194000856,3.14511559103,0.894262796901,3.01926117584,9.0633665846,1.00187111662,3.08549894656,1.35946816581,1.69588690927,2.0641520965,0.583299894159,3.12876424403,1.26323732063,2.9116497359,0.867452478518,1.98294819837,1.17861125675,0.97134278871,1.65454968296,2.77170358116,0.884956226205,2.29979965275,1.59250659253,1.48054710278,2.03553325027,1.34532384369,1.33522716096,2.23842020746,0.961216849585,2.61016134049,0.516513894183,3.5371499187,0.537596796124,5.35703986488,0.0,243.0,235.0,230.0,221.0,216.0,206.0,199.0,186.0,181.0,170.0,164.0,152.0,147.0,137.0,133.0,122.0,116.0,103.0,100.0,88.0,85.0,75.0,74.0,61.0,59.0,46.0,42.0,26.0,25.0,10.0,5.0
5,0.541271959898,0.449682452004,1.47826182955,0.618917620994,1.46756581082,0.684962713161,1.45819893098,0.61454925018,1.48618859759,0.519848448146,1.34672423119,0.420650830006,0.411198040854,0.681344592065,1.48415157956,1.44415882117,0.526591765113,0.639059005457,0.377929854259,0.495516686983,0.421915636904,1.49223854199,0.669237328204,0.398202966013,1.49992682535,0.389537065015,0.577185583993,0.784544308236,0.610778279206,0.411198040854,0.624271173053,0.954628079123,1.11320750265,0.417904437941,0.710233147456,1.36421719931,0.687188946397,0.463749108498,0.458978310493,0.387527147867,0.91217455879,0.509966001468,0.771764265613,0.387309738106,0.236246984414,0.51809278058,0.437205840601,0.710233147456,0.845597079583,0.821482705037,0.643067352641,0.370306237365,0.82496963502,0.650245039727,0.29773036513,0.764363600938,0.469181004441,0.618006416078,0.489819805469,0.845597079583,0.12398385364,0.355172424339,1.63041237048,1.00000235999,1.00015952938,1.0000999106,1.00075813819,1.00048543702,1.01401865267,1.00876338051,1.02024968881,1.01434423418,1.01501802805,1.01759741026,1.01304872172,1.04233599844,1.03183904047,1.04104765875,1.02915962203,1.04858475249,1.03985017315,1.06536321962,1.0569312614,1.06596550026,1.06297507119,1.04536489146,2.19687779176,1.6577470704,3.83086271922,3.53998565215,4.14585988812,3.70855668419,5.70308421726,inf,4.32605533093,0.0750475697836,10.9595267402,0.210755344037,11.5864556523,0.117387264248,8.659133741,0.670634539853,4.99773532172,1.98049372256,1.91427627196,2.72425967194,0.638497869973,2.8243140508,1.72904259296,7.21409968535,1.11046578468,3.14042024914,0.939300930735,1.82017410466,1.25891799098,1.81733283789,5.30389175609,0.094772436238,11.0947437935,0.481409021062,3.36468787422,0.883781626278,4.09705254986,0.581535352143,2.86466676032,4.32604512151,0.0750595420756,10.9584318768,0.210915125713,11.5808338868,0.119032875533,8.58390967428,0.684214680587,4.92706041335,2.01023683284,1.88117250757,2.75980777828,0.612564346747,2.91423750017,1.66086785598,7.42446010543,1.05901385848,3.26556653982,0.881672009546,1.92379891241,1.18101194708,1.93177950273,5.07372286884,0.208203460442,6.69266379145,1.84421187148,0.950480652986,3.66403479424,1.10475662064,3.31654508859,0.0,232.0,225.0,217.0,209.0,201.0,193.0,185.0,177.0,169.0,161.0,153.0,145.0,136.0,128.0,120.0,111.0,104.0,95.0,87.0,79.0,71.0,62.0,55.0,49.0,47.0,38.0,38.0,24.0,23.0,10.0,6.0
6,0.488629984976,1.48979225778,0.699474710839,1.48650924703,0.375391187363,0.531475430999,0.562648212018,0.654272077585,1.46457889313,0.615644601709,0.615644601709,0.650163966029,0.421127198623,1.3867903462,0.516061748828,0.384827813739,1.45102742779,0.380967836381,0.539006483897,0.853498127778,0.567790370814,0.572486926002,1.42984741975,0.578296250312,0.493437812213,0.639393967129,1.4683641544,0.418411373272,1.38695415025,0.56417347055,0.710233147456,0.530209123976,0.742896984955,0.349758652433,0.420616456423,0.572014849317,0.671352344119,0.503903295552,0.836702187477,0.505000761048,1.1274251968,0.758654602138,0.688785558471,0.709307907415,0.419426796664,0.469181004441,0.421258614175,1.37403227989,1.10448066424,0.825920638835,0.54703950102,0.383272601192,0.427801437071,0.357437495925,0.758652790607,0.681329564957,0.655352042902,0.894757101153,0.495244149212,0.408836838561,0.12774509305,0.399678148507,1.63042834545,1.00001279676,1.00000806633,1.00010662048,1.00006827457,1.00013948125,1.00013926923,1.00018726771,1.00016111402,1.00017504916,1.00012716164,1.00022466449,1.00017534764,1.00018080027,1.00020338701,1.00014328288,1.00541911827,1.00347945759,1.02228793662,1.01593223206,1.02335489898,1.01613776475,1.08667088786,1.05789162803,1.10227821916,1.0837709912,2.25963714371,1.68674531656,6.51001690366,3.90862000451,3.62548220511,inf,0.103203200733,11.1210086929,0.231119454671,8.14259201734,1.13358533022,2.26252540562,1.26468554128,2.23024985702,1.78534524899,3.14600131078,1.03232682249,2.06189674233,1.49934289901,1.40471171725,3.97437702874,0.137226693476,10.2787340158,0.426705583652,2.46684154377,0.762898944525,3.95048690108,0.404584665623,7.42714004271,1.10984539601,3.74618581594,0.140958492224,11.1038473974,0.166324925581,6.45031197788,1.21815528965,3.12871625019,0.103201880083,11.1210983986,0.23109481523,8.14314794933,1.13342723837,2.2628405058,1.26444875085,2.23060918153,1.7850327805,3.14640136146,1.03209494741,2.06225829106,1.49907186642,1.40499741736,3.97380765012,0.137970341158,10.243093606,0.436215970657,2.42815560519,0.780716372308,3.88774734895,0.439650377805,7.02070027392,1.22335840666,3.45662122935,0.31851504475,6.58300176581,1.08277807703,1.65027860739,4.41640032568,0.0,229.0,216.0,210.0,202.0,194.0,186.0,179.0,171.0,163.0,155.0,147.0,139.0,132.0,124.0,116.0,108.0,100.0,93.0,85.0,77.0,69.0,62.0,55.0,47.0,39.0,33.0,30.0,23.0,25.0,11.0,5.0
7,1.29369116708,1.38695415025,1.48683035908,0.669237328204,1.47303204706,0.519086272867,0.616922727028,0.716047088112,0.396826682303,0.419816991083,0.396761284966,1.41584044255,1.39135050157,1.35191904918,0.56170024246,0.493560186315,0.41069173251,1.49506352658,0.474295616317,1.27596220368,0.528953922508,1.49033556363,0.463750051037,0.47538997494,0.347259789621,0.747932288953,1.40712476572,0.41069173251,0.404570716412,0.594486191322,0.671352344119,0.235759758254,0.765336334008,0.637103824119,0.437549001689,0.696020130841,1.19793141542,0.693481470196,0.557329523462,0.428059238716,0.721870099448,0.878679577416,0.789194666615,0.657124922942,0.513866536173,0.268762717788,0.914103166811,0.679956886527,0.640334588455,0.754491882494,0.815461405789,0.437948607894,0.408836838561,0.479413424158,0.916251640183,0.494429943943,0.428059238716,0.444007356542,0.349758652433,0.479413424158,0.0685072963904,0.502636276462,1.63042434698,1.00000012253,1.00000007862,1.00000008252,1.0000000587,1.00000005728,1.00000003838,1.00000041751,1.00000026254,1.00000088312,1.00000059267,1.0000678945,1.00004213857,1.00024297292,1.00015120229,1.00042334764,1.00027989033,1.10204826685,1.06189836864,2.81374758765,1.9153951303,10.9651260207,4.7568732983,5.14001521547,5.27691384689,6.20457724622,12.61623155,5.72755579891,6.39247302633,10.9544458794,13.3557804163,inf,0.834247442064,8.41493917881,2.98971818349,3.62891114608,1.82038712273,7.14984903522,0.221837349127,8.5463124426,0.498641886347,6.09525004615,0.0682934036788,18.4680324626,0.293497011438,15.4092967783,0.593449835623,7.19073192285,0.0481750191382,20.2623221207,0.262991795677,9.54087231356,1.15339445547,3.29365301307,4.77590171115,1.01279169752,4.6390730897,0.245281337704,15.582128669,0.833620908921,5.03385016869,0.649734118079,7.33697435084,0.834247339847,8.41493984042,2.98971793677,3.6289113591,1.82038701846,7.14984930965,0.221837256508,8.54631468635,0.498641445988,6.09525365861,0.0682887672469,18.4688106792,0.293425716936,15.4116266994,0.593198706349,7.19274453918,0.0437140736821,21.5165268049,0.0934667334169,18.2745403682,0.10518752391,15.6674900718,0.929161006523,5.34441453267,0.747685604612,3.09452615136,2.72055466871,5.32889917446,0.45952576918,8.67770621007,0.0,749.0,693.0,920.0,584.0,460.0,380.0,433.0,378.0,371.0,357.0,343.0,328.0,314.0,299.0,285.0,270.0,255.0,239.0,218.0,184.0,171.0,119.0,124.0,91.0,94.0,63.0,77.0,46.0,46.0,16.0,10.0
